species_code,region_type,region_code,region_name,continent_code,continent_name,season,abundance_mean,total_pop_percent,continent_pop_percent,range_occupied_percent,range_total_percent,range_days_occupation,max_week,max_week_percent_pop,speciesCode,commonName
baleag,country,CAN,Canada,NA,North America,breeding,0.04739197390261197,0.559229355704283,0.559229355704283,0.14080126370810506,0.6229589099573541,70,2023-06-28,0.6119409477440411,baleag,Bald Eagle
baleag,country,CAN,Canada,NA,North America,nonbreeding,0.02536921240833002,0.17458661125766575,0.17458661125766575,0.03085780703992744,0.13680148299337028,49,2023-02-01,0.17490518607955405,baleag,Bald Eagle
baleag,country,CAN,Canada,NA,North America,postbreeding_migration,0.04777675241969364,0.50509892517472,0.50509892517472,0.13998804734657055,0.5170083470616763,147,2023-08-23,0.6016649516250129,baleag,Bald Eagle
baleag,country,CAN,Canada,NA,North America,prebreeding_migration,0.04552765781442464,0.33584551578598665,0.33584551578598665,0.11761059442991878,0.37111763987779295,98,2023-04-19,0.4178492375281653,baleag,Bald Eagle
baleag,country,MEX,Mexico,NA,North America,nonbreeding,8.211920707246288e-6,2.274603200277716e-6,2.274603200277716e-6,3.7720797624804503e-4,6.730751580196905e-5,0,2023-01-11,7.469650173172156e-6,baleag,Bald Eagle
baleag,country,MEX,Mexico,NA,North America,postbreeding_migration,8.003057619519936e-8,1.5197057978920118e-8,1.5197057978920118e-8,4.9028306802336546e-5,3.2523498227469347e-6,0,2023-12-20,3.2288129555861106e-7,baleag,Bald Eagle
baleag,country,MEX,Mexico,NA,North America,prebreeding_migration,2.789440275601969e-5,2.063310980885424e-6,2.063310980885424e-6,6.845211840114994e-4,2.165885143110861e-5,0,2023-03-08,5.8242189660043695e-6,baleag,Bald Eagle
baleag,country,SPM,Saint Pierre and Miquelon,NA,North America,breeding,0.03431890184035549,2.7459961494980533e-5,2.7459961494980533e-5,0.2597402597402597,7.792440553419128e-5,70,2023-06-07,4.2365991958572295e-5,baleag,Bald Eagle
baleag,country,SPM,Saint Pierre and Miquelon,NA,North America,nonbreeding,0.1103670791081794,8.071966579806246e-5,8.071966579806246e-5,0.42857142857142855,2.0192254740590717e-4,49,2023-02-08,1.4572070057171875e-4,baleag,Bald Eagle
baleag,country,SPM,Saint Pierre and Miquelon,NA,North America,postbreeding_migration,0.02671008375654747,1.9147692608048708e-5,1.9147692608048708e-5,0.2987012987012987,7.48040459231795e-5,147,2023-12-20,8.359054682064727e-5,baleag,Bald Eagle
baleag,country,SPM,Saint Pierre and Miquelon,NA,North America,prebreeding_migration,0.15463172247657528,1.0047837055464184e-4,1.0047837055464184e-4,0.4805194805194805,1.3356291715850308e-4,98,2023-03-08,1.8118433769644156e-4,baleag,Bald Eagle
baleag,country,USA,United States,NA,North America,breeding,0.040207865264142065,0.4407431843342221,0.4407431843342221,0.09171843606614234,0.3769631656371117,70,2023-05-24,0.659410891607899,baleag,Bald Eagle
baleag,country,USA,United States,NA,North America,nonbreeding,0.08237207102199216,0.8253303944733359,0.8253303944733359,0.133692042746452,0.8629292869434219,49,2023-01-04,0.8467735914269467,baleag,Bald Eagle
baleag,country,USA,United States,NA,North America,postbreeding_migration,0.05039092561030474,0.494881911935614,0.494881911935614,0.14075810395203753,0.4829135965425777,147,2023-12-20,0.8275319462023679,baleag,Bald Eagle
baleag,country,USA,United States,NA,North America,prebreeding_migration,0.07459676838534067,0.6640519425324778,0.6640519425324778,0.1651122371465999,0.6287271383536175,98,2023-02-15,0.8391173426999989,baleag,Bald Eagle
baleag,state,CAN-AB,Alberta,NA,North America,breeding,0.012688306163462656,0.009682770640660992,0.009682770640660992,0.08295216248814266,0.02373511790241039,70,2023-07-26,0.016683347587966416,baleag,Bald Eagle
baleag,state,CAN-AB,Alberta,NA,North America,nonbreeding,0.004508161027555297,0.0031446236785620725,0.0031446236785620725,0.014498524866384362,0.006515006801870099,49,2023-01-25,0.003637816438671276,baleag,Bald Eagle
baleag,state,CAN-AB,Alberta,NA,North America,postbreeding_migration,0.03656166731351476,0.02499750381668064,0.02499750381668064,0.228535590946412,0.0545847437237597,147,2023-11-22,0.056847067628378954,baleag,Bald Eagle
baleag,state,CAN-AB,Alberta,NA,North America,prebreeding_migration,0.022829929426014212,0.014148422256647688,0.014148422256647688,0.14529945594106025,0.03851840888695131,98,2023-03-29,0.023917989306927658,baleag,Bald Eagle
baleag,state,CAN-BC,British Columbia,NA,North America,breeding,0.10592661289589858,0.11934450888729854,0.11934450888729854,0.08114841335991353,0.03428033638280136,70,2023-06-07,0.1522413767802737,baleag,Bald Eagle
baleag,state,CAN-BC,British Columbia,NA,North America,nonbreeding,0.12598591328181852,0.1297455912470249,0.1297455912470249,0.06020750321130855,0.03994321648258981,49,2023-02-01,0.12515801303355886,baleag,Bald Eagle
baleag,state,CAN-BC,British Columbia,NA,North America,postbreeding_migration,0.0957926718212042,0.09669506247615954,0.09669506247615954,0.10427533713629374,0.036770572758138505,147,2023-09-27,0.13603914503354755,baleag,Bald Eagle
baleag,state,CAN-BC,British Columbia,NA,North America,prebreeding_migration,0.12020330175773232,0.10998189586492346,0.10998189586492346,0.09660332206081068,0.03780922481275075,98,2023-03-15,0.1429829297943548,baleag,Bald Eagle
baleag,state,CAN-MB,Manitoba,NA,North America,breeding,0.1713913157459914,0.12379086108600154,0.12379086108600154,0.5369037771095383,0.14539983586894392,70,2023-06-21,0.18497284219470791,baleag,Bald Eagle
baleag,state,CAN-MB,Manitoba,NA,North America,nonbreeding,0.0024990084645941267,0.0016498359512946434,0.0016498359512946434,0.035015210040351144,0.014891949930844951,49,2023-12-27,0.0037197770789740817,baleag,Bald Eagle
baleag,state,CAN-MB,Manitoba,NA,North America,postbreeding_migration,0.16226710913814302,0.10500377814876118,0.10500377814876118,0.4383974824945123,0.0991035606997507,147,2023-08-23,0.14993230057545617,baleag,Bald Eagle
baleag,state,CAN-MB,Manitoba,NA,North America,prebreeding_migration,0.0896858183261091,0.0526054808613727,0.0526054808613727,0.28086773406564514,0.07047092584913071,98,2023-04-05,0.08519336030697335,baleag,Bald Eagle
baleag,state,CAN-NB,New Brunswick,NA,North America,breeding,0.02766273434006561,0.002467280979402437,0.002467280979402437,0.08838926183992545,0.0029559065353050667,70,2023-07-19,0.003736612231668878,baleag,Bald Eagle
baleag,state,CAN-NB,New Brunswick,NA,North America,nonbreeding,0.0543896075312523,0.0044341736260070765,0.0044341736260070765,0.1049276260290548,0.005510720853478665,49,2023-02-01,0.005437570644764877,baleag,Bald Eagle
baleag,state,CAN-NB,New Brunswick,NA,North America,postbreeding_migration,0.029500088400645687,0.00235733594094978,0.00235733594094978,0.1039606934228738,0.002902111594364198,147,2023-09-20,0.0046227352704879465,baleag,Bald Eagle
baleag,state,CAN-NB,New Brunswick,NA,North America,prebreeding_migration,0.05149656821543132,0.003730003518279571,0.003730003518279571,0.1604290602334275,0.004970669637765844,98,2023-03-22,0.005257488219784743,baleag,Bald Eagle
baleag,state,CAN-NL,Newfoundland and Labrador,NA,North America,breeding,0.007095543010959412,0.0036380349292401714,0.0036380349292401714,0.03611621987945188,0.006943064533096443,70,2023-06-07,0.004991838716665229,baleag,Bald Eagle
baleag,state,CAN-NL,Newfoundland and Labrador,NA,North America,nonbreeding,0.015267478581842712,0.007155200562731734,0.007155200562731734,0.04057501245716199,0.012249967875958369,49,2023-12-27,0.008608046655937016,baleag,Bald Eagle
baleag,state,CAN-NL,Newfoundland and Labrador,NA,North America,postbreeding_migration,0.012762666404664112,0.00586269499489264,0.00586269499489264,0.1282308210871448,0.020577617328519857,147,2023-11-22,0.018388463616848025,baleag,Bald Eagle
baleag,state,CAN-NL,Newfoundland and Labrador,NA,North America,prebreeding_migration,0.011213800886281202,0.00466918967521158,0.00466918967521158,0.0419734519474438,0.007475913552304321,98,2023-03-01,0.006641877402552093,baleag,Bald Eagle
baleag,state,CAN-NS,Nova Scotia,NA,North America,breeding,0.03963811862242355,0.003054295705882463,0.003054295705882463,0.12143315459606456,0.003508350798780828,70,2023-07-19,0.00429600697879524,baleag,Bald Eagle
baleag,state,CAN-NS,Nova Scotia,NA,North America,nonbreeding,0.12312470124285868,0.00867194476549304,0.00867194476549304,0.181749555391802,0.008246439291971334,49,2023-02-01,0.011410034558067533,baleag,Bald Eagle
baleag,state,CAN-NS,Nova Scotia,NA,North America,postbreeding_migration,0.06075126084699633,0.004193995884455784,0.004193995884455784,0.1879213821536,0.004532060330268792,147,2023-12-20,0.007409335666584517,baleag,Bald Eagle
baleag,state,CAN-NS,Nova Scotia,NA,North America,prebreeding_migration,0.1128332325834364,0.007060614945295179,0.007060614945295179,0.25547867218848636,0.006838503201141224,98,2023-03-01,0.01110531650302053,baleag,Bald Eagle
baleag,state,CAN-NT,Northwest Territories,NA,North America,breeding,0.05886690998772583,0.0915197618812428,0.0915197618812428,0.17044799538000308,0.09935808803860136,70,2023-07-26,0.1385595330322255,baleag,Bald Eagle
baleag,state,CAN-NT,Northwest Territories,NA,North America,postbreeding_migration,0.06217602490788701,0.08660465786138806,0.08660465786138806,0.1505779092218767,0.07327002512292888,105,2023-08-02,0.1415359904755268,baleag,Bald Eagle
baleag,state,CAN-NT,Northwest Territories,NA,North America,prebreeding_migration,0.03059111132994239,0.03862303031251226,0.03862303031251226,0.0527309556935261,0.028478534712069924,56,2023-04-26,0.05446456582731721,baleag,Bald Eagle
baleag,state,CAN-NU,Nunavut,NA,North America,breeding,0.0051284800441932865,0.013931572158555975,0.013931572158555975,0.02076923139534984,0.02115434435883866,49,2023-07-26,0.02013622708339107,baleag,Bald Eagle
baleag,state,CAN-NU,Nunavut,NA,North America,postbreeding_migration,0.004629136784566319,0.01126642495209447,0.01126642495209447,0.012340708550904763,0.010492355345982628,21,2023-08-02,0.020439464225255537,baleag,Bald Eagle
baleag,state,CAN-ON,Ontario,NA,North America,breeding,0.096468828406856,0.11137313560756527,0.11137313560756527,0.3377738331724983,0.14621338486583568,70,2023-07-05,0.14948975302120837,baleag,Bald Eagle
baleag,state,CAN-ON,Ontario,NA,North America,nonbreeding,0.012305241571482831,0.012985445433849037,0.012985445433849037,0.04392066748977004,0.029857774592082827,49,2023-01-04,0.016348569095831794,baleag,Bald Eagle
baleag,state,CAN-ON,Ontario,NA,North America,postbreeding_migration,0.07244403013654221,0.07493258258147141,0.07493258258147141,0.2382071589456306,0.086073544627939,147,2023-09-06,0.1327662092274707,baleag,Bald Eagle
baleag,state,CAN-ON,Ontario,NA,North America,prebreeding_migration,0.08043045789624445,0.07540869630291305,0.07540869630291305,0.20699909841632488,0.08301761499530748,98,2023-04-19,0.13126041106987504,baleag,Bald Eagle
baleag,state,CAN-PE,Prince Edward Island,NA,North America,breeding,0.11212157081466556,0.0010660708878200249,0.0010660708878200249,0.3038251366120219,0.0010831492369252588,70,2023-06-07,0.001709835403885858,baleag,Bald Eagle
baleag,state,CAN-PE,Prince Edward Island,NA,North America,nonbreeding,0.20912317962187235,0.001817491333147365,0.001817491333147365,0.4382513661202186,0.0024536648942354174,49,2023-02-01,0.002803933832456537,baleag,Bald Eagle
